country,product,date,price_wo_tax_forecast,price_with_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
IT,lpg,2026-09-21,465.71727445112765,749.6180941232587,714.9742356735048,784.2619525730128
IT,lpg,2026-09-28,465.5666708889914,749.4674905611225,711.8174779088392,787.1175032134058
IT,lpg,2026-10-05,465.6671264348048,749.567946106936,709.0754906673619,790.0604015465099
IT,lpg,2026-10-12,465.5888927495617,749.4897124216928,706.3013064097457,792.67811843364
IT,lpg,2026-10-19,465.53250651929125,749.4333261914223,703.6800122837419,795.186640099103
ES,euro95,2026-08-03,1061.389114956536,1669.4893424606682,1652.6859063854947,1686.2927785358418
ES,euro95,2026-08-10,1076.176551721397,1684.276779225529,1654.3963028157696,1714.1572556352885
ES,euro95,2026-08-17,1084.6089275713773,1692.7091550755094,1650.9193019364188,1734.4990082146
ES,euro95,2026-08-24,1089.4173986814144,1697.5176261855465,1645.012990997207,1750.022261373886
ES,euro95,2026-08-31,1092.1593773155992,1700.2596048197313,1638.111325930178,1762.4078837092845
ES,euro95,2026-09-07,1093.5453570919747,1701.6455845961068,1630.7628417090432,1772.5283274831702
ES,euro95,2026-09-14,1094.4369737566117,1702.5372012607438,1623.6763231558916,1781.3980793655962
ES,euro95,2026-09-21,1094.945408514432,1703.0456360185642,1616.8332547424443,1789.258017294684
ES,euro95,2026-09-28,1095.2353379350145,1703.3355654391466,1610.2929240576289,1796.3782068206644
ES,euro95,2026-10-05,1096.0422446327352,1704.1424721368674,1604.7066431335302,1803.5783011402048
ES,euro95,2026-10-12,1096.136521772512,1704.236749276644,1598.777879147646,1809.6956194056422
ES,euro95,2026-10-19,1096.1902822916134,1704.2905097957455,1593.1253965775734,1815.4556230139176
ES,diesel,2026-08-03,1239.5761538864997,1767.4821203906322,1748.3968575112463,1786.5673832700181
ES,diesel,2026-08-10,1261.3837987682025,1789.289765272335,1753.6122213642557,1824.9673091804143
ES,diesel,2026-08-17,1272.0354359511362,1799.9414024552686,1749.5793929480121,1850.3034119625252
ES,diesel,2026-08-24,1277.2380782030764,1805.1440447072089,1741.9436793906923,1868.3444100237255
ES,diesel,2026-08-31,1279.7792355798074,1807.6852020839399,1733.1714066898046,1882.1989974780752
ES,diesel,2026-09-07,1281.5676927470975,1809.47365925123,1724.8544657313976,1894.0928527710623
ES,diesel,2026-09-14,1282.1739357783247,1810.0799022824572,1716.3075167242241,1903.8522878406902
ES,diesel,2026-09-21,1282.4700466535862,1810.3760131577187,1708.2081598235218,1912.5438664919157
ES,diesel,2026-09-28,1282.6146778426173,1810.5206443467498,1700.5695879316208,1920.4717007618788
ES,diesel,2026-10-05,1283.0667161122315,1810.972682616364,1693.741664089095,1928.203701143633
ES,diesel,2026-10-12,1283.1012207246774,1811.00718722881,1686.9168490451696,1935.0975254124503
ES,diesel,2026-10-19,1283.1180740169475,1811.02404052108,1680.4315145795545,1941.6165664626055
ES,heating_oil,2026-08-03,1035.2203515881638,1296.409649108825,1272.0924042490285,1320.7268939686217
ES,heating_oil,2026-08-10,1044.6671731366973,1305.8564706573586,1266.1158242149145,1345.5971170998027
ES,heating_oil,2026-08-17,1048.7343559053631,1309.9236534260244,1257.299842025919,1362.54746482613
