country,product,target_date,snapshot_taken_on,horizon_weeks,model_used,price_with_tax_forecast,price_wo_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
IT,fuel_oil_1,2026-08-10,2026-08-03,1,sarimax,594.3322818562351,562.9422818562351,551.6149086277334,637.0496550847369
IT,fuel_oil_1,2026-08-17,2026-08-03,2,sarimax,594.3322818562351,562.9422818562351,547.4777821201081,641.1867815923621
IT,fuel_oil_1,2026-08-24,2026-08-03,3,sarimax,594.3322818562351,562.9422818562351,543.6774270493923,644.9871366630779
IT,fuel_oil_1,2026-08-31,2026-08-03,4,sarimax,594.3322818562351,562.9422818562351,540.1429426327132,648.521621079757
IT,fuel_oil_1,2026-09-07,2026-08-03,5,sarimax,595.4631138472531,564.0731138472531,537.9561172689102,652.970110425596
IT,fuel_oil_1,2026-09-14,2026-08-03,6,sarimax,595.4631138472531,564.0731138472531,534.8196902512758,656.1065374432304
IT,fuel_oil_1,2026-09-21,2026-08-03,7,sarimax,595.4631138472531,564.0731138472531,531.8376865762261,659.0885411182801
IT,fuel_oil_1,2026-09-28,2026-08-03,8,sarimax,595.4631138472531,564.0731138472531,528.9893207750931,661.9369069194131
IT,fuel_oil_1,2026-10-05,2026-08-05,9,sarimax,702.6048018484297,671.2148018484297,640.9150584433153,764.2945452535441
IT,fuel_oil_1,2026-10-12,2026-08-05,10,sarimax,702.6048018484297,671.2148018484297,637.8754955528858,767.3341081439736
IT,fuel_oil_1,2026-10-19,2026-08-05,11,sarimax,702.6048018484297,671.2148018484297,634.9724002526278,770.2372034442316
IT,heating_oil,2026-07-13,2026-08-03,-3,gbm,1593.2544146294915,900.7894965967048,1530.69114340512,1596.964244983043
IT,heating_oil,2026-07-20,2026-08-03,-2,gbm,1593.2544146294915,900.7894965967048,1530.69114340512,1596.964244983043
IT,heating_oil,2026-07-27,2026-08-03,-1,gbm,1589.2943247900153,896.8294067572284,1530.69114340512,1595.2323513286276
IT,heating_oil,2026-08-03,2026-08-03,0,gbm,1591.692985923477,899.22806789069,1532.5221167088985,1591.692985923477
IT,heating_oil,2026-08-10,2026-08-03,1,gbm,1582.065990582621,889.6010725498343,1530.4774789729008,1590.5417765474708
IT,heating_oil,2026-08-17,2026-08-03,2,gbm,1579.5757811593735,887.1108631265865,1527.9201512654713,1590.1381868673002
IT,heating_oil,2026-08-24,2026-08-03,3,gbm,1577.4231778799078,884.958259847121,1525.0351187165484,1590.3819132851672
IT,heating_oil,2026-08-31,2026-08-03,4,gbm,1571.7338617774344,879.2689437446475,1522.8580301714003,1590.348345061113
IT,heating_oil,2026-09-07,2026-08-03,5,gbm,1591.2756059419562,898.8106879091692,1525.1398183264237,1609.384492996462
IT,heating_oil,2026-09-14,2026-08-03,6,gbm,1588.9513262547332,896.4864082219464,1525.1398183264237,1608.5719389872595
IT,heating_oil,2026-09-21,2026-08-03,7,gbm,1588.9513262547332,896.4864082219464,1524.6734055441766,1607.7554854238736
IT,heating_oil,2026-09-28,2026-08-03,8,gbm,1588.953137908817,896.4882198760305,1523.803928335076,1606.8431035992753
IT,heating_oil,2026-10-05,2026-08-05,9,gbm,1768.6824907212658,1026.3118349835609,1659.0414420771776,1806.40799629356
IT,heating_oil,2026-10-12,2026-08-05,10,gbm,1766.917810583256,1024.547154845551,1655.7501437609262,1806.048461918621
IT,heating_oil,2026-10-19,2026-08-05,11,gbm,1766.917810583256,1024.547154845551,1655.1705155794723,1806.587131052969
IT,lpg,2026-07-13,2026-08-03,-3,sarimax,768.3945857715157,481.6229464272534,761.0085214886932,775.7806500543383
IT,lpg,2026-07-20,2026-08-03,-2,sarimax,764.6471437127711,477.8755043685088,752.5276340304085,776.7666533951337
IT,lpg,2026-07-27,2026-08-03,-1,sarimax,761.9493138442465,475.1776744999842,745.4410524390527,778.4575752494404
IT,lpg,2026-08-03,2026-08-03,0,sarimax,759.171848791712,472.4002094474497,738.548689609466,779.795007973958
IT,lpg,2026-08-10,2026-08-03,1,sarimax,757.7736342251025,471.0019948808401,733.2930960183354,782.2541724318695
IT,lpg,2026-08-17,2026-08-03,2,sarimax,756.7670422721719,469.99540292790965,728.6710393670114,784.8630451773325
